Causas (lista reducida);Sexo;Edad;Total
001 Enfermedades infecciosas intestinales;Hombres;Menores de 1 año;0
001 Enfermedades infecciosas intestinales;Hombres;De 1 a 4 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 5 a 9 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 10 a 14 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 15 a 19 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 20 a 24 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 25 a 29 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 30 a 34 años;0
001 Enfermedades infecciosas intestinales;Hombres;De 35 a 39 años;1
001 Enfermedades infecciosas intestinales;Hombres;De 40 a 44 años;1
001 Enfermedades infecciosas intestinales;Hombres;De 45 a 49 años;2
001 Enfermedades infecciosas intestinales;Hombres;De 50 a 54 años;5
001 Enfermedades infecciosas intestinales;Hombres;De 55 a 59 años;6
001 Enfermedades infecciosas intestinales;Hombres;De 60 a 64 años;17
001 Enfermedades infecciosas intestinales;Hombres;De 65 a 69 años;10
001 Enfermedades infecciosas intestinales;Hombres;De 70 a 74 años;22
001 Enfermedades infecciosas intestinales;Hombres;De 75 a 79 años;40
001 Enfermedades infecciosas intestinales;Hombres;De 80 a 84 años;76
001 Enfermedades infecciosas intestinales;Hombres;De 85 a 89 años;109
001 Enfermedades infecciosas intestinales;Hombres;De 90 a 94 años;72
001 Enfermedades infecciosas intestinales;Hombres;De 95 años y más;31
002 Tuberculosis y sus efectos tardíos;Hombres;Menores de 1 año;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 1 a 4 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 5 a 9 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 10 a 14 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 15 a 19 años;2
002 Tuberculosis y sus efectos tardíos;Hombres;De 20 a 24 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 25 a 29 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 30 a 34 años;0
002 Tuberculosis y sus efectos tardíos;Hombres;De 35 a 39 años;2
002 Tuberculosis y sus efectos tardíos;Hombres;De 40 a 44 años;3
002 Tuberculosis y sus efectos tardíos;Hombres;De 45 a 49 años;6
002 Tuberculosis y sus efectos tardíos;Hombres;De 50 a 54 años;7
002 Tuberculosis y sus efectos tardíos;Hombres;De 55 a 59 años;11
002 Tuberculosis y sus efectos tardíos;Hombres;De 60 a 64 años;11
