Provincias;Españoles/Extranjeros;Sexo;Edad (año a año);Año;Total
02 Albacete;TOTAL;Hombres;0 años;2019;1.476
02 Albacete;TOTAL;Hombres;1 año;2019;1.664
02 Albacete;TOTAL;Hombres;2 años;2019;1.708
02 Albacete;TOTAL;Hombres;3 años;2019;1.835
02 Albacete;TOTAL;Hombres;4 años;2019;1.886
02 Albacete;TOTAL;Hombres;5 años;2019;1.891
02 Albacete;TOTAL;Hombres;6 años;2019;1.835
02 Albacete;TOTAL;Hombres;7 años;2019;2.032
02 Albacete;TOTAL;Hombres;8 años;2019;1.997
02 Albacete;TOTAL;Hombres;9 años;2019;2.034
02 Albacete;TOTAL;Hombres;10 años;2019;2.110
02 Albacete;TOTAL;Hombres;11 años;2019;2.121
02 Albacete;TOTAL;Hombres;12 años;2019;2.104
02 Albacete;TOTAL;Hombres;13 años;2019;1.985
02 Albacete;TOTAL;Hombres;14 años;2019;2.051
02 Albacete;TOTAL;Hombres;15 años;2019;2.062
02 Albacete;TOTAL;Hombres;16 años;2019;2.003
02 Albacete;TOTAL;Hombres;17 años;2019;2.039
02 Albacete;TOTAL;Hombres;18 años;2019;2.109
02 Albacete;TOTAL;Hombres;19 años;2019;2.161
02 Albacete;TOTAL;Hombres;20 años;2019;2.174
02 Albacete;TOTAL;Hombres;21 años;2019;2.140
02 Albacete;TOTAL;Hombres;22 años;2019;2.181
02 Albacete;TOTAL;Hombres;23 años;2019;2.291
02 Albacete;TOTAL;Hombres;24 años;2019;2.233
02 Albacete;TOTAL;Hombres;25 años;2019;2.185
02 Albacete;TOTAL;Hombres;26 años;2019;2.252
02 Albacete;TOTAL;Hombres;27 años;2019;2.324
02 Albacete;TOTAL;Hombres;28 años;2019;2.423
02 Albacete;TOTAL;Hombres;29 años;2019;2.339
02 Albacete;TOTAL;Hombres;30 años;2019;2.265
02 Albacete;TOTAL;Hombres;31 años;2019;2.379
02 Albacete;TOTAL;Hombres;32 años;2019;2.416
02 Albacete;TOTAL;Hombres;33 años;2019;2.363
02 Albacete;TOTAL;Hombres;34 años;2019;2.504
02 Albacete;TOTAL;Hombres;35 años;2019;2.592
02 Albacete;TOTAL;Hombres;36 años;2019;2.737
02 Albacete;TOTAL;Hombres;37 años;2019;2.838
02 Albacete;TOTAL;Hombres;38 años;2019;2.911
02 Albacete;TOTAL;Hombres;39 años;2019;3.095
02 Albacete;TOTAL;Hombres;40 años;2019;3.270
02 Albacete;TOTAL;Hombres;41 años;2019;3.177
02 Albacete;TOTAL;Hombres;42 años;2019;3.198
02 Albacete;TOTAL;Hombres;43 años;2019;3.203
02 Albacete;TOTAL;Hombres;44 años;2019;3.251
02 Albacete;TOTAL;Hombres;45 años;2019;3.187
02 Albacete;TOTAL;Hombres;46 años;2019;3.087
02 Albacete;TOTAL;Hombres;47 años;2019;3.089
02 Albacete;TOTAL;Hombres;48 años;2019;3.072
02 Albacete;TOTAL;Hombres;49 años;2019;3.150
02 Albacete;TOTAL;Hombres;50 años;2019;3.166
02 Albacete;TOTAL;Hombres;51 años;2019;3.134
02 Albacete;TOTAL;Hombres;52 años;2019;3.121
02 Albacete;TOTAL;Hombres;53 años;2019;3.120
02 Albacete;TOTAL;Hombres;54 años;2019;3.217
02 Albacete;TOTAL;Hombres;55 años;2019;3.067
02 Albacete;TOTAL;Hombres;56 años;2019;2.859
02 Albacete;TOTAL;Hombres;57 años;2019;2.870
02 Albacete;TOTAL;Hombres;58 años;2019;2.920
02 Albacete;TOTAL;Hombres;59 años;2019;2.819
02 Albacete;TOTAL;Hombres;60 años;2019;2.538
02 Albacete;TOTAL;Hombres;61 años;2019;2.453
02 Albacete;TOTAL;Hombres;62 años;2019;2.036
02 Albacete;TOTAL;Hombres;63 años;2019;1.985
02 Albacete;TOTAL;Hombres;64 años;2019;1.916
02 Albacete;TOTAL;Hombres;65 años;2019;1.885
02 Albacete;TOTAL;Hombres;66 años;2019;1.902
02 Albacete;TOTAL;Hombres;67 años;2019;1.695
02 Albacete;TOTAL;Hombres;68 años;2019;1.697
02 Albacete;TOTAL;Hombres;69 años;2019;1.743
02 Albacete;TOTAL;Hombres;70 años;2019;1.799
02 Albacete;TOTAL;Hombres;71 años;2019;1.556
02 Albacete;TOTAL;Hombres;72 años;2019;1.394
02 Albacete;TOTAL;Hombres;73 años;2019;1.503
02 Albacete;TOTAL;Hombres;74 años;2019;1.389
02 Albacete;TOTAL;Hombres;75 años;2019;1.455
02 Albacete;TOTAL;Hombres;76 años;2019;1.232
02 Albacete;TOTAL;Hombres;77 años;2019;1.095
02 Albacete;TOTAL;Hombres;78 años;2019;1.644
02 Albacete;TOTAL;Hombres;79 años;2019;747
02 Albacete;TOTAL;Hombres;80 años;2019;1.071
02 Albacete;TOTAL;Hombres;81 años;2019;1.169
02 Albacete;TOTAL;Hombres;82 años;2019;1.092
02 Albacete;TOTAL;Hombres;83 años;2019;1.051
02 Albacete;TOTAL;Hombres;84 años;2019;915
02 Albacete;TOTAL;Hombres;85 años;2019;893
02 Albacete;TOTAL;Hombres;86 años;2019;833
02 Albacete;TOTAL;Hombres;87 años;2019;714
02 Albacete;TOTAL;Hombres;88 años;2019;632
02 Albacete;TOTAL;Hombres;89 años;2019;524
02 Albacete;TOTAL;Hombres;90 años;2019;428
02 Albacete;TOTAL;Hombres;91 años;2019;336
02 Albacete;TOTAL;Hombres;92 años;2019;261
02 Albacete;TOTAL;Hombres;93 años;2019;192
02 Albacete;TOTAL;Hombres;94 años;2019;127
02 Albacete;TOTAL;Hombres;95 años;2019;94
02 Albacete;TOTAL;Hombres;96 años;2019;68
02 Albacete;TOTAL;Hombres;97 años;2019;43
02 Albacete;TOTAL;Hombres;98 años;2019;24
02 Albacete;TOTAL;Hombres;99 años;2019;20
02 Albacete;TOTAL;Hombres;100 años y más;2019;38
03 Alicante/Alacant;TOTAL;Hombres;0 años;2019;7.043
03 Alicante/Alacant;TOTAL;Hombres;1 año;2019;7.901
03 Alicante/Alacant;TOTAL;Hombres;2 años;2019;8.290
03 Alicante/Alacant;TOTAL;Hombres;3 años;2019;8.743
03 Alicante/Alacant;TOTAL;Hombres;4 años;2019;8.711
03 Alicante/Alacant;TOTAL;Hombres;5 años;2019;8.860
03 Alicante/Alacant;TOTAL;Hombres;6 años;2019;9.149
03 Alicante/Alacant;TOTAL;Hombres;7 años;2019;9.622
03 Alicante/Alacant;TOTAL;Hombres;8 años;2019;9.928
03 Alicante/Alacant;TOTAL;Hombres;9 años;2019;10.127
03 Alicante/Alacant;TOTAL;Hombres;10 años;2019;10.810
03 Alicante/Alacant;TOTAL;Hombres;11 años;2019;10.438
03 Alicante/Alacant;TOTAL;Hombres;12 años;2019;10.380
03 Alicante/Alacant;TOTAL;Hombres;13 años;2019;10.082
03 Alicante/Alacant;TOTAL;Hombres;14 años;2019;10.159
03 Alicante/Alacant;TOTAL;Hombres;15 años;2019;9.990
03 Alicante/Alacant;TOTAL;Hombres;16 años;2019;9.468
03 Alicante/Alacant;TOTAL;Hombres;17 años;2019;9.616
03 Alicante/Alacant;TOTAL;Hombres;18 años;2019;9.684
03 Alicante/Alacant;TOTAL;Hombres;19 años;2019;9.168
03 Alicante/Alacant;TOTAL;Hombres;20 años;2019;9.295
03 Alicante/Alacant;TOTAL;Hombres;21 años;2019;9.358
03 Alicante/Alacant;TOTAL;Hombres;22 años;2019;9.400
03 Alicante/Alacant;TOTAL;Hombres;23 años;2019;9.413
03 Alicante/Alacant;TOTAL;Hombres;24 años;2019;9.387
03 Alicante/Alacant;TOTAL;Hombres;25 años;2019;9.687
03 Alicante/Alacant;TOTAL;Hombres;26 años;2019;10.003
03 Alicante/Alacant;TOTAL;Hombres;27 años;2019;10.166
03 Alicante/Alacant;TOTAL;Hombres;28 años;2019;10.293
03 Alicante/Alacant;TOTAL;Hombres;29 años;2019;10.245
03 Alicante/Alacant;TOTAL;Hombres;30 años;2019;10.732
03 Alicante/Alacant;TOTAL;Hombres;31 años;2019;10.642
03 Alicante/Alacant;TOTAL;Hombres;32 años;2019;11.089
03 Alicante/Alacant;TOTAL;Hombres;33 años;2019;11.322
03 Alicante/Alacant;TOTAL;Hombres;34 años;2019;11.758
03 Alicante/Alacant;TOTAL;Hombres;35 años;2019;12.208
03 Alicante/Alacant;TOTAL;Hombres;36 años;2019;13.082
03 Alicante/Alacant;TOTAL;Hombres;37 años;2019;13.949
03 Alicante/Alacant;TOTAL;Hombres;38 años;2019;14.604
03 Alicante/Alacant;TOTAL;Hombres;39 años;2019;15.060
03 Alicante/Alacant;TOTAL;Hombres;40 años;2019;15.803
03 Alicante/Alacant;TOTAL;Hombres;41 años;2019;16.233
03 Alicante/Alacant;TOTAL;Hombres;42 años;2019;16.252
03 Alicante/Alacant;TOTAL;Hombres;43 años;2019;15.944
03 Alicante/Alacant;TOTAL;Hombres;44 años;2019;16.035
03 Alicante/Alacant;TOTAL;Hombres;45 años;2019;15.697
03 Alicante/Alacant;TOTAL;Hombres;46 años;2019;15.402
03 Alicante/Alacant;TOTAL;Hombres;47 años;2019;15.373
03 Alicante/Alacant;TOTAL;Hombres;48 años;2019;15.075
03 Alicante/Alacant;TOTAL;Hombres;49 años;2019;15.008
03 Alicante/Alacant;TOTAL;Hombres;50 años;2019;14.531
03 Alicante/Alacant;TOTAL;Hombres;51 años;2019;14.373
03 Alicante/Alacant;TOTAL;Hombres;52 años;2019;14.230
03 Alicante/Alacant;TOTAL;Hombres;53 años;2019;13.815
03 Alicante/Alacant;TOTAL;Hombres;54 años;2019;14.257
03 Alicante/Alacant;TOTAL;Hombres;55 años;2019;13.541
03 Alicante/Alacant;TOTAL;Hombres;56 años;2019;12.956
03 Alicante/Alacant;TOTAL;Hombres;57 años;2019;12.594
03 Alicante/Alacant;TOTAL;Hombres;58 años;2019;12.367
03 Alicante/Alacant;TOTAL;Hombres;59 años;2019;12.035
03 Alicante/Alacant;TOTAL;Hombres;60 años;2019;11.936
