Causas (lista reducida);Sexo;Provincia de residencia;Total
001 Enfermedades infecciosas intestinales;Hombres;02 Albacete;7
001 Enfermedades infecciosas intestinales;Hombres;03 Alicante/Alacant;14
001 Enfermedades infecciosas intestinales;Hombres;04 Almería;5
001 Enfermedades infecciosas intestinales;Hombres;01 Araba/Álava;3
001 Enfermedades infecciosas intestinales;Hombres;33 Asturias;13
001 Enfermedades infecciosas intestinales;Hombres;05 Ávila;4
001 Enfermedades infecciosas intestinales;Hombres;06 Badajoz;12
001 Enfermedades infecciosas intestinales;Hombres;08 Barcelona;29
001 Enfermedades infecciosas intestinales;Hombres;48 Bizkaia;7
001 Enfermedades infecciosas intestinales;Hombres;09 Burgos;4
001 Enfermedades infecciosas intestinales;Hombres;10 Cáceres;5
001 Enfermedades infecciosas intestinales;Hombres;11 Cádiz;9
001 Enfermedades infecciosas intestinales;Hombres;39 Cantabria;5
001 Enfermedades infecciosas intestinales;Hombres;12 Castellón/Castelló;5
001 Enfermedades infecciosas intestinales;Hombres;13 Ciudad Real;5
001 Enfermedades infecciosas intestinales;Hombres;14 Córdoba;7
001 Enfermedades infecciosas intestinales;Hombres;15 Coruña, A;16
001 Enfermedades infecciosas intestinales;Hombres;16 Cuenca;2
001 Enfermedades infecciosas intestinales;Hombres;20 Gipuzkoa;9
001 Enfermedades infecciosas intestinales;Hombres;17 Girona;7
001 Enfermedades infecciosas intestinales;Hombres;18 Granada;4
001 Enfermedades infecciosas intestinales;Hombres;19 Guadalajara;3
001 Enfermedades infecciosas intestinales;Hombres;21 Huelva;3
001 Enfermedades infecciosas intestinales;Hombres;22 Huesca;3
001 Enfermedades infecciosas intestinales;Hombres;23 Jaén;4
001 Enfermedades infecciosas intestinales;Hombres;24 León;8
001 Enfermedades infecciosas intestinales;Hombres;25 Lleida;9
001 Enfermedades infecciosas intestinales;Hombres;27 Lugo;2
001 Enfermedades infecciosas intestinales;Hombres;28 Madrid;40
001 Enfermedades infecciosas intestinales;Hombres;29 Málaga;17
001 Enfermedades infecciosas intestinales;Hombres;30 Murcia;6
001 Enfermedades infecciosas intestinales;Hombres;31 Navarra;6
001 Enfermedades infecciosas intestinales;Hombres;32 Ourense;10
001 Enfermedades infecciosas intestinales;Hombres;34 Palencia;2
001 Enfermedades infecciosas intestinales;Hombres;36 Pontevedra;6
001 Enfermedades infecciosas intestinales;Hombres;26 Rioja, La;4
001 Enfermedades infecciosas intestinales;Hombres;37 Salamanca;3
001 Enfermedades infecciosas intestinales;Hombres;40 Segovia;1
001 Enfermedades infecciosas intestinales;Hombres;41 Sevilla;11
001 Enfermedades infecciosas intestinales;Hombres;42 Soria;1
001 Enfermedades infecciosas intestinales;Hombres;43 Tarragona;10
001 Enfermedades infecciosas intestinales;Hombres;44 Teruel;2
001 Enfermedades infecciosas intestinales;Hombres;45 Toledo;5
001 Enfermedades infecciosas intestinales;Hombres;46 Valencia/València;16
001 Enfermedades infecciosas intestinales;Hombres;47 Valladolid;5
