Provinces;Population;Sex;Age;Year;Total
02 Albacete;TOTAL;Hombres;0-4 años;2019;8.569
02 Albacete;TOTAL;Hombres;5-9 años;2019;9.789
02 Albacete;TOTAL;Hombres;10-14 años;2019;10.371
02 Albacete;TOTAL;Hombres;15-19 años;2019;10.374
02 Albacete;TOTAL;Hombres;20-24 años;2019;11.019
02 Albacete;TOTAL;Hombres;25-29 años;2019;11.523
02 Albacete;TOTAL;Hombres;30-34 años;2019;11.927
02 Albacete;TOTAL;Hombres;35-39 años;2019;14.173
02 Albacete;TOTAL;Hombres;40-44 años;2019;16.099
02 Albacete;TOTAL;Hombres;45-49 años;2019;15.585
02 Albacete;TOTAL;Hombres;50-54 años;2019;15.758
02 Albacete;TOTAL;Hombres;55-59 años;2019;14.535
02 Albacete;TOTAL;Hombres;60-64 años;2019;10.928
02 Albacete;TOTAL;Hombres;65-69 años;2019;8.922
02 Albacete;TOTAL;Hombres;70-74 años;2019;7.641
02 Albacete;TOTAL;Hombres;75-79 años;2019;6.173
02 Albacete;TOTAL;Hombres;80-84 años;2019;5.298
02 Albacete;TOTAL;Hombres;85-89 años;2019;3.596
02 Albacete;TOTAL;Hombres;90-94 años;2019;1.344
02 Albacete;TOTAL;Hombres;95-99 años;2019;249
02 Albacete;TOTAL;Hombres;100 años y más;2019;38
03 Alicante/Alacant;TOTAL;Hombres;0-4 años;2019;40.688
03 Alicante/Alacant;TOTAL;Hombres;5-9 años;2019;47.686
03 Alicante/Alacant;TOTAL;Hombres;10-14 años;2019;51.869
03 Alicante/Alacant;TOTAL;Hombres;15-19 años;2019;47.926
03 Alicante/Alacant;TOTAL;Hombres;20-24 años;2019;46.853
03 Alicante/Alacant;TOTAL;Hombres;25-29 años;2019;50.394
03 Alicante/Alacant;TOTAL;Hombres;30-34 años;2019;55.543
03 Alicante/Alacant;TOTAL;Hombres;35-39 años;2019;68.903
03 Alicante/Alacant;TOTAL;Hombres;40-44 años;2019;80.267
03 Alicante/Alacant;TOTAL;Hombres;45-49 años;2019;76.555
03 Alicante/Alacant;TOTAL;Hombres;50-54 años;2019;71.206
03 Alicante/Alacant;TOTAL;Hombres;55-59 años;2019;63.493
03 Alicante/Alacant;TOTAL;Hombres;60-64 años;2019;54.291
03 Alicante/Alacant;TOTAL;Hombres;65-69 años;2019;48.836
03 Alicante/Alacant;TOTAL;Hombres;70-74 años;2019;44.995
03 Alicante/Alacant;TOTAL;Hombres;75-79 años;2019;32.025
03 Alicante/Alacant;TOTAL;Hombres;80-84 años;2019;22.058
03 Alicante/Alacant;TOTAL;Hombres;85-89 años;2019;12.429
03 Alicante/Alacant;TOTAL;Hombres;90-94 años;2019;4.052
03 Alicante/Alacant;TOTAL;Hombres;95-99 años;2019;729
03 Alicante/Alacant;TOTAL;Hombres;100 años y más;2019;117
04 Almería;TOTAL;Hombres;0-4 años;2019;19.773
04 Almería;TOTAL;Hombres;5-9 años;2019;21.185
04 Almería;TOTAL;Hombres;10-14 años;2019;21.478
04 Almería;TOTAL;Hombres;15-19 años;2019;19.715
04 Almería;TOTAL;Hombres;20-24 años;2019;21.249
04 Almería;TOTAL;Hombres;25-29 años;2019;24.188
04 Almería;TOTAL;Hombres;30-34 años;2019;26.993
04 Almería;TOTAL;Hombres;35-39 años;2019;31.785
04 Almería;TOTAL;Hombres;40-44 años;2019;33.695
04 Almería;TOTAL;Hombres;45-49 años;2019;29.433
04 Almería;TOTAL;Hombres;50-54 años;2019;26.687
04 Almería;TOTAL;Hombres;55-59 años;2019;23.033
04 Almería;TOTAL;Hombres;60-64 años;2019;18.954
04 Almería;TOTAL;Hombres;65-69 años;2019;15.361
04 Almería;TOTAL;Hombres;70-74 años;2019;12.775
04 Almería;TOTAL;Hombres;75-79 años;2019;8.227
04 Almería;TOTAL;Hombres;80-84 años;2019;6.138
04 Almería;TOTAL;Hombres;85-89 años;2019;3.536
04 Almería;TOTAL;Hombres;90-94 años;2019;1.214
04 Almería;TOTAL;Hombres;95-99 años;2019;237
04 Almería;TOTAL;Hombres;100 años y más;2019;45
01 Araba/Álava;TOTAL;Hombres;0-4 años;2019;7.962
01 Araba/Álava;TOTAL;Hombres;5-9 años;2019;9.079
